id,course_number,course_name,created_at,updated_at
124,37601,Marketing Workshop,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
125,37701,Laboratory in New Product and Strategy Development I,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
126,37703,Digital Marketing and MarTech Lab,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
127,37902,Foundations of Advanced Quantitative Marketing,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
128,37903,Adv Mktg Theory:  Behavioral Science Approach,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
129,37904,Advanced Quantitative Marketing,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
130,37905,Marketing Literature Seminar,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
131,37906,Applied Bayesian Econometrics,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
132,38001,Managing in Organizations,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
133,38002,Managerial Decision Making,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
134,38003,Power and Influence in Organizations,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
135,38101,Persuasion: Effective Business Communication,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
136,38102,Persuasion II: Influence Through Narrative,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
137,38103,Strategies and Processes of Negotiation,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
138,38105,Advanced Negotiations,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
139,38115,Ethics of Business,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
140,38116,Leading and Managing Teams,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
141,38119,Designing a Good Life,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
142,38120,The Study of Behavioral Economics,2017-11-15 03:29:36 UTC,2017-11-15 03:29:36 UTC
